household_key,BASKET_ID,DAY,PRODUCT_ID,QUANTITY,SALES_VALUE,STORE_ID,RETAIL_DISC,TRANS_TIME,WEEK_NO,COUPON_DISC,COUPON_MATCH_DISC
2375,26984851472,1,1004906,1,1.39,364,-0.6,1631,1,0,0
2375,26984851472,1,1033142,1,0.82,364,0,1631,1,0,0
2375,26984851472,1,1036325,1,0.99,364,-0.3,1631,1,0,0
2375,26984851472,1,1082185,1,1.21,364,0,1631,1,0,0
2375,26984851472,1,8160430,1,1.5,364,-0.39,1631,1,0,0
2375,26984851516,1,826249,2,1.98,364,-0.6,1642,1,0,0
2375,26984851516,1,1043142,1,1.57,364,-0.68,1642,1,0,0
2375,26984851516,1,1085983,1,2.99,364,-0.4,1642,1,0,0
2375,26984851516,1,1102651,1,1.89,364,0,1642,1,0,0
2375,26984851516,1,6423775,1,2,364,-0.79,1642,1,0,0
2375,26984851516,1,9487839,1,2,364,-0.79,1642,1,0,0
1364,26984896261,1,842930,1,2.19,31742,0,1520,1,0,0
1364,26984896261,1,897044,1,2.99,31742,-0.4,1520,1,0,0
1364,26984896261,1,920955,1,3.09,31742,0,1520,1,0,0
1364,26984896261,1,937406,1,2.5,31742,-0.99,1520,1,0,0
1364,26984896261,1,981760,1,0.6,31742,-0.79,1520,1,0,0
1130,26984905972,1,833715,2,0.34,31642,-0.32,1340,1,0,0
1130,26984905972,1,866950,2,0.34,31642,-0.32,1340,1,0,0
1130,26984905972,1,1022843,2,0.34,31642,-0.32,1340,1,0,0
1130,26984905972,1,1048462,1,1.19,31642,-0.8,1340,1,0,0
1130,26984905972,1,1071333,2,0.34,31642,-0.32,1340,1,0,0
1173,26984945254,1,824399,2,1.98,412,0,2042,1,0,0
1173,26984945254,1,923972,1,0.67,412,0,2042,1,0,0
1173,26984945254,1,1131351,1,0.88,412,0,2042,1,0,0
98,26984951769,1,878302,3,0.9,337,0,1937,1,0,0
98,26984951769,1,965138,2,3,337,-0.08,1937,1,0,0
98,26984951769,1,985911,1,1.25,337,-0.34,1937,1,0,0
98,26984951769,1,1082185,1,0.39,337,0,1937,1,0,0
98,26984951769,1,1087347,1,0.25,337,0,1937,1,0,0
1172,26985025264,1,877180,1,2.29,396,0,0946,1,0,0
1172,26985025264,1,878664,1,2,396,-0.99,0946,1,0,0
1172,26985025264,1,930917,2,2,396,-0.78,0946,1,0,0
1172,26985025264,1,940796,1,3.59,396,0,0946,1,0,0
1172,26985025264,1,981760,1,0.79,396,-0.6,0946,1,0,0
1172,26985025264,1,999971,1,0.99,396,-0.3,0946,1,0,0
1172,26985025264,1,1000493,1,4.44,396,-0.89,0946,1,0,0
1172,26985025264,1,1045220,2,2,396,-0.78,0946,1,0,0
1172,26985025264,1,1068719,1,1.49,396,-0.5,0946,1,0,0
1172,26985025264,1,1073324,1,3.59,396,0,0946,1,0,0
1172,26985025264,1,1075214,1,5.99,396,-3,0946,1,0,0
1172,26985025264,1,1106523,1,1.5,396,0,0946,1,0,0
1172,26985025264,1,1107553,1,1,396,-0.29,0946,1,0,0
1172,26985025264,1,5569230,1,2.33,396,-2.26,0946,1,0,0
1172,26985025264,1,5581335,1,3.79,396,-0.4,0946,1,0,0
1172,26985025264,1,7167970,1,3.99,396,-1,0946,1,0,0
1172,26985025264,1,8357687,1,3,396,-0.99,0946,1,0,0
1060,26985040735,1,820162,1,1.79,315,0,1251,1,0,0
1060,26985040735,1,827656,1,3.75,315,0,1251,1,0,0
1060,26985040735,1,829617,1,1.49,315,-0.5,1251,1,0,0
1060,26985040735,1,833014,1,2.79,315,-0.2,1251,1,0,0
